Country,Role,AR,WG,Total Country Authors,Total Authors,Percentage of Authors in Country
Egypt,Coordinating Lead Author,5,1,0,29,0.0000
Egypt,Coordinating Lead Author,5,2,0,64,0.0000
Egypt,Coordinating Lead Author,5,3,0,34,0.0000
Egypt,Lead Author,1,1,0,214,0.0000
Egypt,Lead Author,1,2,0,11,0.0000
Egypt,Lead Author,1,3,0,43,0.0000
Egypt,Lead Author,2,1,0,84,0.0000
Egypt,Lead Author,2,2,0,287,0.0000
Egypt,Lead Author,2,3,0,65,0.0000
Egypt,Lead Author,3,1,0,137,0.0000
Egypt,Lead Author,3,2,0,184,0.0000
Egypt,Lead Author,3,3,0,139,0.0000
Egypt,Lead Author,4,1,0,139,0.0000
Egypt,Lead Author,4,2,1,197,0.5076
Egypt,Lead Author,4,3,0,175,0.0000
Egypt,Lead Author,5,1,0,195,0.0000
Egypt,Lead Author,5,2,2,236,0.8475
Egypt,Lead Author,5,3,2,243,0.8230
Egypt,Review Editor,3,1,0,21,0.0000
Egypt,Review Editor,3,2,0,34,0.0000
Egypt,Review Editor,3,3,0,19,0.0000
Egypt,Review Editor,4,1,0,26,0.0000
Egypt,Review Editor,4,2,0,46,0.0000
Egypt,Review Editor,4,3,0,26,0.0000
Egypt,Review Editor,5,1,0,50,0.0000
Egypt,Review Editor,5,2,0,66,0.0000
Egypt,Review Editor,5,3,0,36,0.0000
Egypt,Contributing Author,1,1,0,29,0.0000
Egypt,Contributing Author,1,2,0,147,0.0000
Egypt,Contributing Author,1,3,0,9,0.0000
Egypt,Contributing Author,2,1,0,352,0.0000
Egypt,Contributing Author,2,2,0,294,0.0000
Egypt,Contributing Author,2,3,0,28,0.0000
Egypt,Contributing Author,3,1,0,518,0.0000
Egypt,Contributing Author,3,2,0,232,0.0000
Egypt,Contributing Author,3,3,0,71,0.0000
Egypt,Contributing Author,4,1,0,496,0.0000
Egypt,Contributing Author,4,2,1,217,0.4608
Egypt,Contributing Author,4,3,0,84,0.0000
Egypt,Contributing Author,5,1,0,603,0.0000
Egypt,Contributing Author,5,2,0,386,0.0000
Ethiopia,Coordinating Lead Author,1,1,0,34,0.0000
Ethiopia,Coordinating Lead Author,1,2,0,13,0.0000
Ethiopia,Coordinating Lead Author,1,3,0,19,0.0000
Ethiopia,Coordinating Lead Author,2,1,0,15,0.0000
Ethiopia,Coordinating Lead Author,2,2,0,43,0.0000
Ethiopia,Coordinating Lead Author,2,3,0,12,0.0000
Ethiopia,Coordinating Lead Author,3,1,0,23,0.0000
Ethiopia,Coordinating Lead Author,3,2,0,42,0.0000
Ethiopia,Coordinating Lead Author,3,3,0,20,0.0000
Ethiopia,Coordinating Lead Author,4,1,0,25,0.0000
Ethiopia,Coordinating Lead Author,4,2,0,51,0.0000
Ethiopia,Coordinating Lead Author,4,3,0,25,0.0000
Ethiopia,Coordinating Lead Author,5,1,0,29,0.0000
Ethiopia,Coordinating Lead Author,5,2,0,64,0.0000
Ethiopia,Coordinating Lead Author,5,3,0,34,0.0000
Ethiopia,Lead Author,1,1,1,214,0.4673
Ethiopia,Lead Author,1,2,0,11,0.0000
Ethiopia,Lead Author,1,3,0,43,0.0000
Ethiopia,Lead Author,2,1,0,84,0.0000
Ethiopia,Lead Author,2,2,0,287,0.0000
Ethiopia,Lead Author,2,3,0,65,0.0000
Ethiopia,Lead Author,3,1,0,137,0.0000
Ethiopia,Lead Author,3,2,0,184,0.0000
Ethiopia,Lead Author,3,3,0,139,0.0000
Ethiopia,Lead Author,4,1,0,139,0.0000
Ethiopia,Lead Author,4,2,0,197,0.0000
Ethiopia,Lead Author,4,3,0,175,0.0000
Ethiopia,Lead Author,5,1,0,195,0.0000
Ethiopia,Lead Author,5,2,0,236,0.0000
Ethiopia,Lead Author,5,3,0,243,0.0000
Ethiopia,Review Editor,3,1,0,21,0.0000
Ethiopia,Review Editor,3,2,0,34,0.0000
Ethiopia,Review Editor,3,3,0,19,0.0000
Ethiopia,Review Editor,4,1,0,26,0.0000
Ethiopia,Review Editor,4,2,0,46,0.0000
Ethiopia,Review Editor,4,3,0,26,0.0000
Ethiopia,Review Editor,5,1,0,50,0.0000
Ethiopia,Review Editor,5,2,0,66,0.0000
Ethiopia,Review Editor,5,3,0,36,0.0000
Ethiopia,Contributing Author,1,1,0,29,0.0000
Ethiopia,Contributing Author,1,2,1,147,0.6803
Ethiopia,Contributing Author,1,3,0,9,0.0000
Ethiopia,Contributing Author,2,1,0,352,0.0000
Ethiopia,Contributing Author,2,2,0,294,0.0000
Ethiopia,Contributing Author,2,3,0,28,0.0000
Ethiopia,Contributing Author,3,1,0,518,0.0000
Ethiopia,Contributing Author,3,2,0,232,0.0000
Ethiopia,Contributing Author,3,3,0,71,0.0000
Ethiopia,Contributing Author,4,1,0,496,0.0000
Ethiopia,Contributing Author,4,2,0,217,0.0000
Ethiopia,Contributing Author,4,3,0,84,0.0000
Ethiopia,Contributing Author,5,1,0,603,0.0000
Ethiopia,Contributing Author,5,2,1,386,0.2591
Fiji,Coordinating Lead Author,1,1,0,34,0.0000
Fiji,Coordinating Lead Author,1,2,0,13,0.0000
Fiji,Coordinating Lead Author,1,3,0,19,0.0000
Fiji,Coordinating Lead Author,2,1,0,15,0.0000
Fiji,Coordinating Lead Author,2,2,0,43,0.0000
Fiji,Coordinating Lead Author,2,3,0,12,0.0000
Fiji,Coordinating Lead Author,3,1,0,23,0.0000
Fiji,Coordinating Lead Author,3,2,0,42,0.0000
Fiji,Coordinating Lead Author,3,3,0,20,0.0000
Fiji,Coordinating Lead Author,4,1,0,25,0.0000
Fiji,Coordinating Lead Author,4,2,0,51,0.0000
Fiji,Coordinating Lead Author,4,3,0,25,0.0000
Fiji,Coordinating Lead Author,5,1,0,29,0.0000
Fiji,Coordinating Lead Author,5,2,0,64,0.0000
Fiji,Coordinating Lead Author,5,3,0,34,0.0000
Fiji,Lead Author,1,1,0,214,0.0000
Fiji,Lead Author,1,2,0,11,0.0000
Fiji,Lead Author,1,3,0,43,0.0000
Fiji,Lead Author,2,1,0,84,0.0000
Fiji,Lead Author,2,2,0,287,0.0000
Fiji,Lead Author,2,3,0,65,0.0000
Fiji,Lead Author,3,1,0,137,0.0000
Fiji,Lead Author,3,2,0,184,0.0000
Fiji,Lead Author,3,3,0,139,0.0000
Fiji,Lead Author,4,1,0,139,0.0000
Fiji,Lead Author,4,2,0,197,0.0000
Fiji,Lead Author,4,3,0,175,0.0000
Fiji,Lead Author,5,1,0,195,0.0000
Fiji,Lead Author,5,2,1,236,0.4237
Fiji,Lead Author,5,3,1,243,0.4115
Fiji,Review Editor,3,1,0,21,0.0000
Fiji,Review Editor,3,2,0,34,0.0000
Fiji,Review Editor,3,3,0,19,0.0000
Fiji,Review Editor,4,1,0,26,0.0000
Fiji,Review Editor,4,2,0,46,0.0000
Fiji,Review Editor,4,3,0,26,0.0000
Fiji,Review Editor,5,1,0,50,0.0000
Fiji,Review Editor,5,2,0,66,0.0000
Fiji,Review Editor,5,3,0,36,0.0000
Fiji,Contributing Author,1,1,0,29,0.0000
Fiji,Contributing Author,1,2,0,147,0.0000
Fiji,Contributing Author,1,3,0,9,0.0000
Fiji,Contributing Author,2,1,0,352,0.0000
Fiji,Contributing Author,2,2,1,294,0.3401
Fiji,Contributing Author,2,3,0,28,0.0000
Fiji,Contributing Author,3,1,0,518,0.0000
Fiji,Contributing Author,3,2,0,232,0.0000
Fiji,Contributing Author,3,3,0,71,0.0000
Fiji,Contributing Author,4,1,0,496,0.0000
Fiji,Contributing Author,4,2,1,217,0.4608
Fiji,Contributing Author,4,3,0,84,0.0000
Fiji,Contributing Author,5,1,0,603,0.0000
Fiji,Contributing Author,5,2,1,386,0.2591
Finland,Coordinating Lead Author,1,1,0,34,0.0000
Finland,Coordinating Lead Author,1,2,0,13,0.0000
Finland,Coordinating Lead Author,1,3,0,19,0.0000
Finland,Coordinating Lead Author,2,1,0,15,0.0000
Finland,Coordinating Lead Author,2,2,1,43,2.3256
Finland,Coordinating Lead Author,2,3,0,12,0.0000
Finland,Coordinating Lead Author,3,1,0,23,0.0000
Finland,Coordinating Lead Author,3,2,1,42,2.3810
Finland,Coordinating Lead Author,3,3,1,20,5.0000
Finland,Coordinating Lead Author,4,1,0,25,0.0000
Finland,Coordinating Lead Author,4,2,1,51,1.9608
Finland,Coordinating Lead Author,4,3,0,25,0.0000
Finland,Coordinating Lead Author,5,1,0,29,0.0000
Finland,Coordinating Lead Author,5,2,0,64,0.0000
Finland,Coordinating Lead Author,5,3,0,34,0.0000
Finland,Lead Author,1,1,1,214,0.4673
Finland,Lead Author,1,2,0,11,0.0000
Finland,Lead Author,1,3,0,43,0.0000
Finland,Lead Author,2,1,0,84,0.0000
Finland,Lead Author,2,2,2,287,0.6969
Finland,Lead Author,2,3,0,65,0.0000
Finland,Lead Author,3,1,1,137,0.7299
Finland,Lead Author,3,2,2,184,1.0870
Finland,Lead Author,3,3,1,139,0.7194
Finland,Lead Author,4,1,1,139,0.7194
Finland,Lead Author,4,2,1,197,0.5076
Finland,Lead Author,4,3,3,175,1.7143
Finland,Lead Author,5,1,1,195,0.5128
Finland,Lead Author,5,2,1,236,0.4237
Finland,Lead Author,5,3,1,243,0.4115
Finland,Review Editor,3,1,0,21,0.0000
Finland,Review Editor,3,2,1,34,2.9412
Finland,Review Editor,3,3,0,19,0.0000
Finland,Review Editor,4,1,0,26,0.0000
Finland,Review Editor,4,2,1,46,2.1739
Finland,Review Editor,4,3,0,26,0.0000
Finland,Review Editor,5,1,1,50,2.0000
Finland,Review Editor,5,2,1,66,1.5152
Finland,Review Editor,5,3,0,36,0.0000
Finland,Contributing Author,1,1,0,29,0.0000
Finland,Contributing Author,1,2,1,147,0.6803
Finland,Contributing Author,1,3,0,9,0.0000
Finland,Contributing Author,2,1,1,352,0.2841
Finland,Contributing Author,2,2,5,294,1.7007
Finland,Contributing Author,2,3,0,28,0.0000
Finland,Contributing Author,3,1,2,518,0.3861
Finland,Contributing Author,3,2,1,232,0.4310
Finland,Contributing Author,3,3,1,71,1.4085
Finland,Contributing Author,4,1,1,496,0.2016
Finland,Contributing Author,4,2,1,217,0.4608
Finland,Contributing Author,4,3,1,84,1.1905
Finland,Contributing Author,5,1,2,603,0.3317
Finland,Contributing Author,5,2,4,386,1.0363
France,Coordinating Lead Author,1,1,0,34,0.0000
France,Coordinating Lead Author,1,2,0,13,0.0000
France,Coordinating Lead Author,1,3,2,19,10.5263
France,Coordinating Lead Author,2,1,0,15,0.0000
France,Coordinating Lead Author,2,2,2,43,4.6512
France,Coordinating Lead Author,2,3,2,12,16.6667
France,Coordinating Lead Author,3,1,0,23,0.0000
France,Coordinating Lead Author,3,2,0,42,0.0000
France,Coordinating Lead Author,3,3,1,20,5.0000
France,Coordinating Lead Author,4,1,1,25,4.0000
France,Coordinating Lead Author,4,2,2,51,3.9216
France,Coordinating Lead Author,4,3,0,25,0.0000
France,Coordinating Lead Author,5,1,3,29,10.3448
France,Coordinating Lead Author,5,2,0,64,0.0000
France,Coordinating Lead Author,5,3,1,34,2.9412
France,Lead Author,1,1,8,214,3.7383
France,Lead Author,1,2,0,11,0.0000
France,Lead Author,1,3,2,43,4.6512
France,Lead Author,2,1,4,84,4.7619
France,Lead Author,2,2,10,287,3.4843
France,Lead Author,2,3,3,65,4.6154
France,Lead Author,3,1,5,137,3.6496
France,Lead Author,3,2,2,184,1.0870
France,Lead Author,3,3,5,139,3.5971
France,Lead Author,4,1,11,139,7.9137
France,Lead Author,4,2,6,197,3.0457
France,Lead Author,4,3,8,175,4.5714
France,Lead Author,5,1,8,195,4.1026
France,Lead Author,5,2,9,236,3.8136
France,Lead Author,5,3,6,243,2.4691
France,Review Editor,3,1,0,21,0.0000
France,Review Editor,3,2,1,34,2.9412
France,Review Editor,3,3,1,19,5.2632
France,Review Editor,4,1,3,26,11.5385
France,Review Editor,4,2,0,46,0.0000
France,Review Editor,4,3,0,26,0.0000
France,Review Editor,5,1,7,50,14.0000
France,Review Editor,5,2,2,66,3.0303
France,Review Editor,5,3,0,36,0.0000
France,Contributing Author,1,1,0,29,0.0000
France,Contributing Author,1,2,0,147,0.0000
France,Contributing Author,1,3,0,9,0.0000
France,Contributing Author,2,1,8,352,2.2727
France,Contributing Author,2,2,8,294,2.7211
France,Contributing Author,2,3,2,28,7.1429
France,Contributing Author,3,1,24,518,4.6332
France,Contributing Author,3,2,0,232,0.0000
France,Contributing Author,3,3,0,71,0.0000
France,Contributing Author,4,1,28,496,5.6452
France,Contributing Author,4,2,6,217,2.7650
France,Contributing Author,4,3,6,84,7.1429
France,Contributing Author,5,1,30,603,4.9751
France,Contributing Author,5,2,13,386,3.3679
Germany,Coordinating Lead Author,1,1,1,34,2.9412
Germany,Coordinating Lead Author,1,2,0,13,0.0000
Germany,Coordinating Lead Author,1,3,0,19,0.0000
Germany,Coordinating Lead Author,2,1,0,15,0.0000
Germany,Coordinating Lead Author,2,2,1,43,2.3256
Germany,Coordinating Lead Author,2,3,0,12,0.0000
Germany,Coordinating Lead Author,3,1,3,23,13.0435
Germany,Coordinating Lead Author,3,2,1,42,2.3810
Germany,Coordinating Lead Author,3,3,1,20,5.0000
Germany,Coordinating Lead Author,4,1,2,25,8.0000
Germany,Coordinating Lead Author,4,2,3,51,5.8824
Germany,Coordinating Lead Author,4,3,0,25,0.0000
Germany,Coordinating Lead Author,5,1,4,29,13.7931
Germany,Coordinating Lead Author,5,2,3,64,4.6875
Germany,Coordinating Lead Author,5,3,4,34,11.7647
Germany,Lead Author,1,1,13,214,6.0748
Germany,Lead Author,1,2,0,11,0.0000
Germany,Lead Author,1,3,0,43,0.0000
Germany,Lead Author,2,1,3,84,3.5714
Germany,Lead Author,2,2,8,287,2.7875
Germany,Lead Author,2,3,0,65,0.0000
Germany,Lead Author,3,1,10,137,7.2993
Germany,Lead Author,3,2,10,184,5.4348
Germany,Lead Author,3,3,6,139,4.3165
Germany,Lead Author,4,1,4,139,2.8777
Germany,Lead Author,4,2,6,197,3.0457
Germany,Lead Author,4,3,6,175,3.4286
Germany,Lead Author,5,1,12,195,6.1538
Germany,Lead Author,5,2,11,236,4.6610
Germany,Lead Author,5,3,21,243,8.6420
Germany,Review Editor,3,1,0,21,0.0000
Germany,Review Editor,3,2,1,34,2.9412
Germany,Review Editor,3,3,1,19,5.2632
Germany,Review Editor,4,1,1,26,3.8462
Germany,Review Editor,4,2,3,46,6.5217
Germany,Review Editor,4,3,2,26,7.6923
Germany,Review Editor,5,1,1,50,2.0000
Germany,Review Editor,5,2,1,66,1.5152
Germany,Review Editor,5,3,1,36,2.7778
Germany,Contributing Author,1,1,4,29,13.7931
Germany,Contributing Author,1,2,3,147,2.0408
Germany,Contributing Author,1,3,0,9,0.0000
Germany,Contributing Author,2,1,27,352,7.6705
Germany,Contributing Author,2,2,18,294,6.1224
Germany,Contributing Author,2,3,1,28,3.5714
Germany,Contributing Author,3,1,56,518,10.8108
Germany,Contributing Author,3,2,3,232,1.2931
Germany,Contributing Author,3,3,4,71,5.6338
Germany,Contributing Author,4,1,44,496,8.8710
Germany,Contributing Author,4,2,6,217,2.7650
Germany,Contributing Author,4,3,1,84,1.1905
Germany,Contributing Author,5,1,40,603,6.6335
Germany,Contributing Author,5,2,27,386,6.9948
Ghana,Coordinating Lead Author,1,1,0,34,0.0000
Ghana,Coordinating Lead Author,1,2,0,13,0.0000
Ghana,Coordinating Lead Author,1,3,0,19,0.0000
Ghana,Coordinating Lead Author,2,1,0,15,0.0000
Ghana,Coordinating Lead Author,2,2,0,43,0.0000
Ghana,Coordinating Lead Author,2,3,0,12,0.0000
Ghana,Coordinating Lead Author,3,1,0,23,0.0000
Ghana,Coordinating Lead Author,3,2,0,42,0.0000
Ghana,Coordinating Lead Author,3,3,0,20,0.0000
Ghana,Coordinating Lead Author,4,1,0,25,0.0000
Ghana,Coordinating Lead Author,4,2,0,51,0.0000
Ghana,Coordinating Lead Author,4,3,0,25,0.0000
Ghana,Coordinating Lead Author,5,1,0,29,0.0000
Ghana,Coordinating Lead Author,5,2,0,64,0.0000
Ghana,Coordinating Lead Author,5,3,0,34,0.0000
Ghana,Lead Author,1,1,0,214,0.0000
Ghana,Lead Author,1,2,0,11,0.0000
Ghana,Lead Author,1,3,0,43,0.0000
Ghana,Lead Author,2,1,0,84,0.0000
Ghana,Lead Author,2,2,0,287,0.0000
Ghana,Lead Author,2,3,0,65,0.0000
Ghana,Lead Author,3,1,0,137,0.0000
Ghana,Lead Author,3,2,0,184,0.0000
Ghana,Lead Author,3,3,0,139,0.0000
Ghana,Lead Author,4,1,0,139,0.0000
Ghana,Lead Author,4,2,0,197,0.0000
Ghana,Lead Author,4,3,0,175,0.0000
Ghana,Lead Author,5,1,0,195,0.0000
Ghana,Lead Author,5,2,1,236,0.4237
Ghana,Lead Author,5,3,2,243,0.8230
Ghana,Review Editor,3,1,0,21,0.0000
Ghana,Review Editor,3,2,0,34,0.0000
Ghana,Review Editor,3,3,0,19,0.0000
Ghana,Review Editor,4,1,0,26,0.0000
Ghana,Review Editor,4,2,0,46,0.0000
Ghana,Review Editor,4,3,0,26,0.0000
Ghana,Review Editor,5,1,0,50,0.0000
Ghana,Review Editor,5,2,0,66,0.0000
Ghana,Review Editor,5,3,0,36,0.0000
Ghana,Contributing Author,1,1,0,29,0.0000
Ghana,Contributing Author,1,2,0,147,0.0000
Ghana,Contributing Author,1,3,0,9,0.0000
Ghana,Contributing Author,2,1,0,352,0.0000
Ghana,Contributing Author,2,2,0,294,0.0000
Ghana,Contributing Author,2,3,0,28,0.0000
Ghana,Contributing Author,3,1,0,518,0.0000
Ghana,Contributing Author,3,2,0,232,0.0000
Ghana,Contributing Author,3,3,0,71,0.0000
Ghana,Contributing Author,4,1,0,496,0.0000
Ghana,Contributing Author,4,2,0,217,0.0000
Ghana,Contributing Author,4,3,0,84,0.0000
Ghana,Contributing Author,5,1,0,603,0.0000
Ghana,Contributing Author,5,2,0,386,0.0000
Greece,Coordinating Lead Author,1,1,0,34,0.0000
Greece,Coordinating Lead Author,1,2,0,13,0.0000
Greece,Coordinating Lead Author,1,3,0,19,0.0000
Greece,Coordinating Lead Author,2,1,0,15,0.0000
Greece,Coordinating Lead Author,2,2,0,43,0.0000
Greece,Coordinating Lead Author,2,3,0,12,0.0000
Greece,Coordinating Lead Author,3,1,0,23,0.0000
Greece,Coordinating Lead Author,3,2,0,42,0.0000
Greece,Coordinating Lead Author,3,3,0,20,0.0000
Greece,Coordinating Lead Author,4,1,0,25,0.0000
Greece,Coordinating Lead Author,4,2,0,51,0.0000
Greece,Coordinating Lead Author,4,3,0,25,0.0000
Greece,Coordinating Lead Author,5,1,0,29,0.0000
Greece,Coordinating Lead Author,5,2,0,64,0.0000
Greece,Coordinating Lead Author,5,3,0,34,0.0000
Greece,Lead Author,1,1,0,214,0.0000
Greece,Lead Author,1,2,0,11,0.0000
Greece,Lead Author,1,3,0,43,0.0000
Greece,Lead Author,2,1,0,84,0.0000
Greece,Lead Author,2,2,0,287,0.0000
Greece,Lead Author,2,3,0,65,0.0000
Greece,Lead Author,3,1,0,137,0.0000
Greece,Lead Author,3,2,0,184,0.0000
Greece,Lead Author,3,3,0,139,0.0000
Greece,Lead Author,4,1,0,139,0.0000
Greece,Lead Author,4,2,1,197,0.5076
Greece,Lead Author,4,3,1,175,0.5714
Greece,Lead Author,5,1,0,195,0.0000
Greece,Lead Author,5,2,1,236,0.4237
Greece,Lead Author,5,3,1,243,0.4115
Greece,Review Editor,3,1,0,21,0.0000
Greece,Review Editor,3,2,0,34,0.0000
Greece,Review Editor,3,3,0,19,0.0000
Greece,Review Editor,4,1,0,26,0.0000
Greece,Review Editor,4,2,0,46,0.0000
Greece,Review Editor,4,3,0,26,0.0000
Greece,Review Editor,5,1,0,50,0.0000
Greece,Review Editor,5,2,0,66,0.0000
Greece,Review Editor,5,3,0,36,0.0000
Greece,Contributing Author,1,1,0,29,0.0000
Greece,Contributing Author,1,2,0,147,0.0000
Greece,Contributing Author,1,3,0,9,0.0000
Greece,Contributing Author,2,1,0,352,0.0000
Greece,Contributing Author,2,2,0,294,0.0000
Greece,Contributing Author,2,3,0,28,0.0000
Greece,Contributing Author,3,1,1,518,0.1931
Greece,Contributing Author,3,2,0,232,0.0000
Greece,Contributing Author,3,3,0,71,0.0000
Greece,Contributing Author,4,1,0,496,0.0000
Greece,Contributing Author,4,2,0,217,0.0000
Greece,Contributing Author,4,3,0,84,0.0000
Greece,Contributing Author,5,1,0,603,0.0000
Greece,Contributing Author,5,2,2,386,0.5181
Guatemala,Coordinating Lead Author,1,1,0,34,0.0000
Guatemala,Coordinating Lead Author,1,2,0,13,0.0000
Guatemala,Coordinating Lead Author,1,3,0,19,0.0000
Guatemala,Coordinating Lead Author,2,1,0,15,0.0000
Guatemala,Coordinating Lead Author,2,2,0,43,0.0000
Guatemala,Coordinating Lead Author,2,3,0,12,0.0000
Guatemala,Coordinating Lead Author,3,1,0,23,0.0000
Guatemala,Coordinating Lead Author,3,2,0,42,0.0000
Guatemala,Coordinating Lead Author,3,3,0,20,0.0000
Guatemala,Coordinating Lead Author,4,1,0,25,0.0000
Guatemala,Coordinating Lead Author,4,2,0,51,0.0000
Guatemala,Coordinating Lead Author,4,3,0,25,0.0000
Guatemala,Coordinating Lead Author,5,1,0,29,0.0000
Guatemala,Coordinating Lead Author,5,2,0,64,0.0000
Guatemala,Coordinating Lead Author,5,3,0,34,0.0000
Guatemala,Lead Author,1,1,0,214,0.0000
Guatemala,Lead Author,1,2,0,11,0.0000
Guatemala,Lead Author,1,3,0,43,0.0000
Guatemala,Lead Author,2,1,0,84,0.0000
Guatemala,Lead Author,2,2,0,287,0.0000
Guatemala,Lead Author,2,3,0,65,0.0000
Guatemala,Lead Author,3,1,0,137,0.0000
Guatemala,Lead Author,3,2,0,184,0.0000
Guatemala,Lead Author,3,3,0,139,0.0000
Guatemala,Lead Author,4,1,0,139,0.0000
Guatemala,Lead Author,4,2,0,197,0.0000
Guatemala,Lead Author,4,3,0,175,0.0000
Guatemala,Lead Author,5,1,0,195,0.0000
Guatemala,Lead Author,5,2,1,236,0.4237
Guatemala,Lead Author,5,3,0,243,0.0000
Guatemala,Review Editor,3,1,0,21,0.0000
Guatemala,Review Editor,3,2,0,34,0.0000
Guatemala,Review Editor,3,3,0,19,0.0000
Guatemala,Review Editor,4,1,0,26,0.0000
Guatemala,Review Editor,4,2,0,46,0.0000
Guatemala,Review Editor,4,3,0,26,0.0000
Guatemala,Review Editor,5,1,0,50,0.0000
Guatemala,Review Editor,5,2,0,66,0.0000
Guatemala,Review Editor,5,3,0,36,0.0000
Guatemala,Contributing Author,1,1,0,29,0.0000
Guatemala,Contributing Author,1,2,0,147,0.0000
Guatemala,Contributing Author,1,3,0,9,0.0000
Guatemala,Contributing Author,2,1,0,352,0.0000
Guatemala,Contributing Author,2,2,0,294,0.0000
Guatemala,Contributing Author,2,3,0,28,0.0000
Guatemala,Contributing Author,3,1,0,518,0.0000
Guatemala,Contributing Author,3,2,0,232,0.0000
Guatemala,Contributing Author,3,3,0,71,0.0000
Guatemala,Contributing Author,4,1,0,496,0.0000
Guatemala,Contributing Author,4,2,0,217,0.0000
Guatemala,Contributing Author,4,3,0,84,0.0000
Guatemala,Contributing Author,5,1,0,603,0.0000
Guatemala,Contributing Author,5,2,0,386,0.0000
Hong Kong,Coordinating Lead Author,1,1,0,34,0.0000
Hong Kong,Coordinating Lead Author,1,2,0,13,0.0000
Hong Kong,Coordinating Lead Author,1,3,0,19,0.0000
Hong Kong,Coordinating Lead Author,2,1,0,15,0.0000
Hong Kong,Coordinating Lead Author,2,2,0,43,0.0000
Hong Kong,Coordinating Lead Author,2,3,0,12,0.0000
Hong Kong,Coordinating Lead Author,3,1,0,23,0.0000
Hong Kong,Coordinating Lead Author,3,2,0,42,0.0000
Hong Kong,Coordinating Lead Author,3,3,0,20,0.0000
Hong Kong,Coordinating Lead Author,4,1,0,25,0.0000
Hong Kong,Coordinating Lead Author,4,2,0,51,0.0000
Hong Kong,Coordinating Lead Author,4,3,0,25,0.0000
Hong Kong,Coordinating Lead Author,5,1,0,29,0.0000
Hong Kong,Coordinating Lead Author,5,2,0,64,0.0000
Hong Kong,Coordinating Lead Author,5,3,0,34,0.0000
Hong Kong,Lead Author,1,1,0,214,0.0000
Hong Kong,Lead Author,1,2,0,11,0.0000
Hong Kong,Lead Author,1,3,0,43,0.0000
Hong Kong,Lead Author,2,1,0,84,0.0000
Hong Kong,Lead Author,2,2,0,287,0.0000
Hong Kong,Lead Author,2,3,0,65,0.0000
Hong Kong,Lead Author,3,1,0,137,0.0000
Hong Kong,Lead Author,3,2,0,184,0.0000
Hong Kong,Lead Author,3,3,0,139,0.0000
Hong Kong,Lead Author,4,1,0,139,0.0000
Hong Kong,Lead Author,4,2,0,197,0.0000
Hong Kong,Lead Author,4,3,0,175,0.0000
Hong Kong,Lead Author,5,1,0,195,0.0000
Hong Kong,Lead Author,5,2,0,236,0.0000
Hong Kong,Lead Author,5,3,1,243,0.4115
Hong Kong,Review Editor,3,1,0,21,0.0000
Hong Kong,Review Editor,3,2,0,34,0.0000
Hong Kong,Review Editor,3,3,0,19,0.0000
Hong Kong,Review Editor,4,1,0,26,0.0000
Hong Kong,Review Editor,4,2,0,46,0.0000
Hong Kong,Review Editor,4,3,0,26,0.0000
Hong Kong,Review Editor,5,1,0,50,0.0000
Hong Kong,Review Editor,5,2,0,66,0.0000
Hong Kong,Review Editor,5,3,0,36,0.0000
Hong Kong,Contributing Author,1,1,0,29,0.0000
Hong Kong,Contributing Author,1,2,0,147,0.0000
Hong Kong,Contributing Author,1,3,0,9,0.0000
Hong Kong,Contributing Author,2,1,0,352,0.0000
Hong Kong,Contributing Author,2,2,1,294,0.3401
Hong Kong,Contributing Author,2,3,0,28,0.0000
Hong Kong,Contributing Author,3,1,0,518,0.0000
Hong Kong,Contributing Author,3,2,0,232,0.0000
Hong Kong,Contributing Author,3,3,0,71,0.0000
Hong Kong,Contributing Author,4,1,0,496,0.0000
Hong Kong,Contributing Author,4,2,0,217,0.0000
Hong Kong,Contributing Author,4,3,0,84,0.0000
Hong Kong,Contributing Author,5,1,0,603,0.0000
Hong Kong,Contributing Author,5,2,0,386,0.0000
Hungary,Coordinating Lead Author,1,1,0,34,0.0000
Hungary,Coordinating Lead Author,1,2,0,13,0.0000
Hungary,Coordinating Lead Author,1,3,0,19,0.0000
Hungary,Coordinating Lead Author,2,1,0,15,0.0000
Hungary,Coordinating Lead Author,2,2,0,43,0.0000
Hungary,Coordinating Lead Author,2,3,0,12,0.0000
Hungary,Coordinating Lead Author,3,1,0,23,0.0000
Hungary,Coordinating Lead Author,3,2,0,42,0.0000
Hungary,Coordinating Lead Author,3,3,0,20,0.0000
Hungary,Coordinating Lead Author,4,1,0,25,0.0000
Hungary,Coordinating Lead Author,4,2,1,51,1.9608
Hungary,Coordinating Lead Author,4,3,1,25,4.0000
Hungary,Coordinating Lead Author,5,1,0,29,0.0000
Hungary,Coordinating Lead Author,5,2,0,64,0.0000
Hungary,Coordinating Lead Author,5,3,1,34,2.9412
Hungary,Lead Author,1,1,0,214,0.0000
Hungary,Lead Author,1,2,0,11,0.0000
Hungary,Lead Author,1,3,0,43,0.0000
Hungary,Lead Author,2,1,0,84,0.0000
Hungary,Lead Author,2,2,3,287,1.0453
Hungary,Lead Author,2,3,0,65,0.0000
Hungary,Lead Author,3,1,0,137,0.0000
Hungary,Lead Author,3,2,0,184,0.0000
Hungary,Lead Author,3,3,1,139,0.7194
Hungary,Lead Author,4,1,0,139,0.0000
Hungary,Lead Author,4,2,1,197,0.5076
Hungary,Lead Author,4,3,2,175,1.1429
Hungary,Lead Author,5,1,0,195,0.0000
