Country,AR,Cumulated WG,Total Country Participations,% Country Participations,Total Participations
Uruguay,4,WG2,1,0.2667,375
Uruguay,4,WG3,2,0.7843,255
USA,1,WG1,88,37.7682,233
USA,1,WG1+2,1,9.0909,11
USA,1,WG1+3,3,75.0000,4
USA,1,WG2,21,13.7255,153
USA,1,WG2+3,1,20.0000,5
USA,1,WG3,15,25.0000,60
USA,2,WG1,163,42.4479,384
USA,2,WG1+2,13,52.0000,25
USA,2,WG1+3,1,50.0000,2
USA,2,WG2,149,29.3307,508
USA,2,WG2+3,5,50.0000,10
USA,2,WG3,24,29.6296,81
USA,3,WG1,228,40.4255,564
USA,3,WG1+2,6,20.6897,29
USA,3,WG1+3,4,66.6667,6
USA,3,WG2,40,11.0803,361
USA,3,WG2+3,4,36.3636,11
USA,3,WG3,45,22.2772,202
USA,4,WG1,215,36.8782,583
USA,4,WG1+2,12,38.7097,31
USA,4,WG2,62,16.5333,375
USA,4,WG2+3,3,17.6471,17
USA,4,WG3,52,20.3922,255
USA,5,WG1,240,31.9149,752
USA,5,WG1+2,8,32.0000,25
USA,5,WG2,123,19.4006,634
USA,5,WG2+3,2,40.0000,5
USA,5,WG3,47,17.8707,263
USSR,1,WG1,8,3.4335,233
USSR,1,WG2,9,5.8824,153
USSR,1,WG3,1,1.6667,60
Uzbekistan,3,WG2,1,0.2770,361
Venezuela,2,WG1,1,0.2604,384
Venezuela,2,WG2,5,0.9843,508
Venezuela,3,WG1,1,0.1773,564
Venezuela,3,WG1+2,1,3.4483,29
Venezuela,3,WG2,1,0.2770,361
Venezuela,4,WG2,2,0.5333,375
Venezuela,5,WG2,2,0.3155,634
Vietnam,1,WG2,1,0.6536,153
Vietnam,2,WG2,1,0.1969,508
Vietnam,3,WG1,1,0.1773,564
Vietnam,4,WG2,2,0.5333,375
Vietnam,5,WG2,2,0.3155,634
Zambia,3,WG1,1,0.1773,564
Zambia,3,WG3,1,0.4950,202
Zambia,4,WG3,1,0.3922,255
Zambia,5,WG1,3,0.3989,752
Zambia,5,WG3,2,0.7605,263
Zimbabwe,1,WG3,1,1.6667,60
Zimbabwe,2,WG2,3,0.5906,508
Zimbabwe,2,WG3,1,1.2346,81
Zimbabwe,3,WG1,1,0.1773,564
Zimbabwe,3,WG2,1,0.2770,361
Zimbabwe,4,WG2,1,0.2667,375
Zimbabwe,5,WG2,2,0.3155,634
Zimbabwe,5,WG3,1,0.3802,263
